ID,State,City,Death,Injury,School Type,Name School,Day,Year,Month Name,Month
245,Virginia,Norfolk,0,1,University,Norfolk State University,27,2018,Feb,2
246,Washington,Federal Way,1,0,Middle,Lakota Middle School ,14,2008,Aug,8
247,Washington,Marysville,5,1,High,Marysville Pilchuck High School ,24,2014,Oct,10
248,Washington,Parkland,2,0,University,Pacific Lutheran University,16,2001,May,5
249,Washington,Rockford,1,3,High,Freeman High School,13,2017,Sep,9
250,Washington,Seattle,2,0,University,University of Washington Medical Center,28,2000,Jun,6
251,Washington,Seattle,1,3,University,Seattle Pacific University,5,2014,Jun,6
252,Washington,Seattle,0,1,University,University of Washington,20,2017,Jan,1
253,Washington,Tacoma,1,0,High,Henry Foss High School,3,2007,Jan,1
254,WestVirginia,Shepherdstown,3,0,University,Shepherd University,2,2006,Sep,9
255,Wisconsin,Antigo,1,2,High,Antigo High School,23,2016,Apr,4
256,Wisconsin,Cazenovia,1,0,High,Weston High School shooting,29,2006,Sep,9
257,Wisconsin,Marinette,1,0,High,Marinette High School ,29,2010,Nov,11
258,Wisconsin,Milwaukee,1,0,High,Washington High School,20,2002,Feb,2
259,Wisconsin,Milwaukee,0,3,High,Wisconsin Lutheran High School,15,2015,Jan,1
260,Wyoming,Cheyenne,0,0,High,Cheyenne South High School,28,2019,Feb,2
